name,duration,rest,reps,units
jump rope,7,15,,min
1-2,20,0,,sec
1-1-2,20,0,,sec
2-3,20,0,,sec
1-2-3,20,0,,sec
2-3-2,20,0,,sec
1-6-3-2,20,0,,sec
1-2-5-2,20,0,,sec
3-2-3,20,0,,sec
1-1-2-3,20,0,,sec
2-5-2,20,0,,sec
1-2-3-6,20,0,,sec
3-6-3-2,20,0,,sec
1-2-slip-2,20,0,,sec
1-2-roll-3-2,20,0,,sec
1-2-3-2,20,0,,sec
1-1-2-5,20,0,,sec
2-3-roll-2,20,0,,sec
1-2-slip-3-2,20,0,,sec
1-6-3,20,0,,sec
2-5-6,20,0,,sec
1-2-3-slip-2,20,0,,sec
1-1-2-roll-3,20,0,,sec
3-2-5,20,0,,sec
1-2-6-3,20,0,,sec
2-3-6-2,20,0,,sec
1-2-slip-slip-2,20,0,,sec
1-2-roll-roll-3,20,0,,sec
2-3-2-5,20,0,,sec
1-1-2-3-2,20,240,,sec
Russian twists,15,4,,sec
seated curls,15,4,,sec
seated curls counter clockwise ,15,4,,sec
explosive in and outs,15,4,,sec
explosive V ups,15,4,,sec
explosive alternative v ups,15,4,,sec
alternating sprinter v ups,15,4,,sec
scissors ,15,4,,sec
flutter kicks,15,4,,sec
straight leg pulses,15,4,,sec
side lying v ups,15,4,,sec
side lying v ups other side,15,4,,sec
side hip raise,15,4,,sec
side hip raise other side,15,4,,sec
side plank elbow to knee,15,4,,sec
side plank elbow to knee other side,15,4,,sec
plank side to side,15,4,,sec
cross over mountain climbers ,15,4,,sec
mountain climbers ,15,4,,sec
push up planks,15,240,,sec
Russian twists,15,4,,sec
seated curls,15,4,,sec
seated curls counter clockwise ,15,4,,sec
explosive in and outs,15,4,,sec
explosive V ups,15,4,,sec
explosive alternative v ups,15,4,,sec
alternating sprinter v ups,15,4,,sec
scissors ,15,4,,sec
flutter kicks,15,4,,sec
straight leg pulses,15,4,,sec
side lying v ups,15,4,,sec
side lying v ups other side,15,4,,sec
side hip raise,15,4,,sec
side hip raise other side,15,4,,sec
side plank elbow to knee,15,4,,sec
side plank elbow to knee other side,15,4,,sec
plank side to side,15,4,,sec
cross over mountain climbers ,15,4,,sec
mountain climbers ,15,4,,sec
push up planks,15,4,,sec
